GeneID
Gene_51373
Gene_84948
Gene_8273
Gene_116372
Gene_11094
Gene_221749
Gene_51367
Gene_54849
Gene_90668
Gene_23526
Gene_6665
Gene_29123
Gene_445571
Gene_79589
Gene_2316
Gene_128387
Gene_51529
Gene_483
Gene_106635684
Gene_51247
Gene_22881
Gene_80198
Gene_9414
Gene_5034
Gene_11215
Gene_81887
Gene_3017
Gene_8633
Gene_142686
Gene_60685
Gene_9775
Gene_8263
Gene_58486
Gene_143684
Gene_135138
Gene_110006322
Gene_10858
Gene_631
Gene_85371
Gene_101927164
Gene_6327
Gene_57505
Gene_50804
Gene_23303
Gene_673
Gene_2023
Gene_83604
Gene_60412
Gene_728673
Gene_57482
Gene_83637
Gene_10617
Gene_4088
Gene_6137
Gene_51715
Gene_51540
Gene_1643
Gene_5250
Gene_55108
Gene_64777
Gene_29925
Gene_22847
Gene_55330
Gene_4597
Gene_5378
Gene_757
Gene_107984329
Gene_9311
Gene_256158
Gene_9682
Gene_29079
Gene_1196
Gene_285025
Gene_152302
Gene_23180
Gene_4976
Gene_253260
Gene_9108
Gene_51538
Gene_414241
Gene_2615
Gene_2949
Gene_8209
Gene_10573
Gene_29883
Gene_51164
Gene_23677
Gene_254128
Gene_23139
Gene_8503
Gene_167691
Gene_64344
Gene_81832
Gene_9371
Gene_9899
Gene_27295
Gene_100526831
Gene_7407
Gene_4849
Gene_10287
Gene_122416
Gene_55157
Gene_642968
Gene_8841
Gene_10350
Gene_730051
Gene_3361
Gene_100130311
Gene_54059
Gene_400120
Gene_340527
Gene_54465
Gene_2650
Gene_115948
Gene_50649
Gene_375484
Gene_64418
Gene_84919
Gene_10285
Gene_11272
Gene_23087
Gene_151195
Gene_57180
Gene_55088
Gene_2571
Gene_109910380
Gene_1139
Gene_727957
Gene_9181
Gene_147495
Gene_24142
Gene_4651
Gene_30061
Gene_85359
Gene_9203
Gene_22
Gene_966
Gene_100506428
Gene_25949
Gene_3355
Gene_150465
Gene_338657
Gene_55298
Gene_388523
Gene_115290
Gene_8891
Gene_7737
Gene_54497
Gene_4642
Gene_255743
Gene_136647
Gene_9897
Gene_54020
Gene_26502
Gene_286527
Gene_7869
Gene_63894
Gene_220
Gene_7559
Gene_51663
Gene_11118
Gene_55776
Gene_4660
Gene_8495
Gene_100129583
Gene_100652748
Gene_90288
Gene_643327
Gene_11194
Gene_441459
Gene_27156
Gene_26127
Gene_25836
Gene_729991
Gene_79047
Gene_2774
Gene_6545
Gene_112441434
Gene_143686
Gene_30000
Gene_7773
Gene_10471
Gene_51285
Gene_29855
Gene_79973
Gene_10565
Gene_65993
Gene_27236
Gene_57593
Gene_9942
Gene_124944
Gene_124817
Gene_6576
Gene_283927
Gene_8641
Gene_5032
Gene_197258
Gene_55810
Gene_10589
Gene_23095
Gene_2241
Gene_55073
Gene_54843
Gene_55870
Gene_83473
Gene_64084
Gene_11342
Gene_107984581
Gene_10916
Gene_6130
Gene_5901
Gene_7373
Gene_2900
Gene_79646
Gene_64786
Gene_8649
Gene_57494
Gene_23759
Gene_686
Gene_26091
Gene_51205
Gene_90161
