Gene,Mean_Control,Mean_Disease,FoldChange,log2FoldChange,p_value,adj_p_value
Gene_644961,1.944231037625,2.030813877,1.0445332050046718,0.06285835543435173,0.06524988429629117,0.6045830188382615
Gene_100652781,2.193425387875,2.0696254439999997,0.9435586254452274,-0.0838159363499158,0.06517854659668518,0.6045830188382615
Gene_80312,2.9998581284999997,2.8866526644999997,0.962263060734607,-0.05549674711139676,0.06513098723549055,0.6045830188382615
Gene_222698,1.67728830175,1.796720897375,1.0712057643879052,0.09923562924710604,0.06518554283446443,0.6045830188382615
Gene_8724,2.877301739875,2.9998596135,1.042594724052238,0.06017846444908457,0.0653257512566267,0.604980430365509
Gene_57720,3.234110285,3.17674997575,0.9822639600399403,-0.025817328322234295,0.06544525165811085,0.6055253160906683
Gene_51000,2.606548225625,2.4939961515,0.9568194929146143,-0.0636813135821325,0.06545059968427969,0.6055253160906683
Gene_56155,1.79973452725,1.9550111781250001,1.0862775306712948,0.11939274123726636,0.06549677077109696,0.6056470547210407
Gene_388698,2.251556644875,2.075160956,0.921656117656861,-0.11769953283755231,0.06553618057921522,0.6057061808092103
Gene_55784,1.639051062,1.96678143825,1.1999512912368315,0.26297584473604385,0.06560011571435306,0.6059918040762947
Gene_693201,1.1333577849999998,1.371402485875,1.2100349104453367,0.27504867097079466,0.06566717840181062,0.6060212720647071
Gene_392188,2.77311355325,2.4571588368749997,0.8860649914588923,-0.17451557283767624,0.065669371463242,0.6060212720647071
Gene_26664,1.14515866275,1.631295877625,1.4245151616873626,0.5104709769266036,0.06577312914550039,0.6062561619026318
Gene_54407,3.53785931375,3.774385442125,1.0668557190659713,0.09336508013360889,0.06585941660723153,0.6062561619026318
Gene_9103,2.327248925,2.56785317225,1.103385694871467,0.14193718151279433,0.06602528134097123,0.6062561619026318
Gene_282808,1.9095249703750001,1.787617651375,0.9361583006814205,-0.09517559040141745,0.06599291102236415,0.6062561619026318
Gene_51151,1.886380617625,1.6640083254999998,0.8821169545279932,-0.18095814825238182,0.0657720991989812,0.6062561619026318
Gene_107985152,1.00749375675,0.838994899125,0.8327544399197588,-0.26403695408363226,0.06596545624125162,0.6062561619026318
Gene_391627,2.387841204625,2.068581687625,0.8662978441021842,-0.20706496793433912,0.06584762170156928,0.6062561619026318
Gene_1557,1.272083162125,1.4612525491250001,1.148708349133397,0.20001255197082995,0.06593282700541643,0.6062561619026318
Gene_259307,1.159274603375,1.385903986375,1.195492407355611,0.25760496743541167,0.06600439918090377,0.6062561619026318
Gene_1272,4.35020824225,4.222286795875,0.9705941786573332,-0.04305988762615627,0.0660238632921017,0.6062561619026318
Gene_4211,2.677122886375,2.5013484893749998,0.9343420513512511,-0.09797729500661266,0.06618039733204323,0.6066271567476358
Gene_101927051,1.682508629125,1.854367523125,1.1021444354133128,0.14031330067869183,0.06617387437082772,0.6066271567476358
Gene_9848,2.87556478575,2.95114007275,1.0262818933430111,0.03742705674397007,0.06619794875224937,0.6066271567476358
Gene_1947,1.615362247625,1.82540990525,1.1300313028448103,0.1763627370948665,0.06618917399439608,0.6066271567476358
Gene_7866,2.046347572875,2.1822858397499996,1.066429705626212,0.0927888726763704,0.06624856032382563,0.6067878620573665
Gene_51703,2.614035685875,2.865615704125,1.0962419983818195,0.13256631228278073,0.06634481648766419,0.6071324929397579
Gene_5939,2.596357892125,2.77894009925,1.0703224342371247,0.09804547344986769,0.06635237372420226,0.6071324929397579
Gene_646471,2.04694917925,1.99422186975,0.9742410265801914,-0.03764935663046603,0.06641587204086839,0.607410562543256
Gene_10874,1.638263466375,1.243600489,0.7590967597853634,-0.39764430151901314,0.06655737913684982,0.6084014338040094
Gene_54331,2.478447754875,2.204641412,0.8895250697391403,-0.16889282893549734,0.06665834200170896,0.6085140023640954
Gene_794,3.087530715125,2.627777197,0.851093459290044,-0.2326105307188696,0.06661074028437526,0.6085140023640954
Gene_535,3.9600392685,3.852395166375,0.9728174154783636,-0.039759038598286375,0.06666920008458692,0.6085140023640954
Gene_50939,2.6206290213749996,2.38488009825,0.9100410927292157,-0.13599640349014824,0.06674043675175254,0.6088612892330443
Gene_26353,3.4054946566249997,3.605180015125,1.0586362272251801,0.08220692989955203,0.06678526139988297,0.6089673984305433
