Gene,Mean_Control,Mean_Disease,FoldChange,log2FoldChange,p_value,adj_p_value
Gene_728,1.002702386,1.57368918,1.569447925,0.650257161,0.000953759,0.241567643
Gene_1978,1.101987861,1.562456339,1.417852586,0.503707544,0.000916244,0.241567643
Gene_317719,1.428711767,1.112775491,0.77886633,-0.360552342,0.000905093,0.241567643
Gene_147929,2.886092227,3.052153718,1.057538525,0.080710221,0.001022564,0.241567643
Gene_144983,2.791597754,2.652397899,0.950136134,-0.073793859,0.000968535,0.241567643
Gene_162966,2.626674351,2.884327114,1.098090867,0.134997442,0.00108841,0.252759222
Gene_8970,2.146822136,2.373204344,1.105449913,0.14463366,0.001144106,0.26207865
Gene_79155,1.769353429,2.080723368,1.175979504,0.233862915,0.001159379,0.26207865
Gene_89857,1.595369944,1.987495376,1.245789657,0.3170605,0.001171397,0.26207865
Gene_26276,3.174625846,3.015218153,0.949786935,-0.074324183,0.001216641,0.262594062
Gene_54466,2.436472477,2.331133802,0.956765908,-0.063762111,0.001205474,0.262594062
Gene_91574,2.441341383,2.55798727,1.047779425,0.067335037,0.001211591,0.262594062
Gene_7156,2.575464891,2.475726827,0.961273763,-0.056980737,0.001255372,0.26472472
Gene_3185,2.946312562,3.114345254,1.057031523,0.080018401,0.00124444,0.26472472
Gene_5723,2.26319643,2.378297822,1.050857889,0.071567582,0.001336462,0.277382736
Gene_4901,1.284586594,1.463517872,1.139290943,0.188136219,0.001478154,0.277382736
Gene_10957,2.866236451,3.071048311,1.071456721,0.099573577,0.001527072,0.277382736
Gene_85477,2.110330826,2.765211637,1.310321397,0.389920721,0.001519788,0.277382736
Gene_1435,2.215076353,2.492818406,1.125387124,0.170421362,0.001392161,0.277382736
Gene_112616,1.313819648,1.469109795,1.118197461,0.161174974,0.001441036,0.277382736
Gene_79845,1.329229646,1.743065809,1.31133534,0.391036664,0.001417064,0.277382736
Gene_56882,2.761813209,2.883057378,1.043900206,0.061983801,0.001442914,0.277382736
Gene_283991,2.377541054,2.748743287,1.156128632,0.209301922,0.001503529,0.277382736
Gene_79695,2.300366045,1.983285558,0.862160856,-0.213971033,0.001483498,0.277382736
Gene_150275,2.366555345,2.613920447,1.104525382,0.143426573,0.001525698,0.277382736
Gene_26509,2.891390323,3.15850491,1.092382749,0.127478436,0.001499129,0.277382736
