GeneId,GSM5213623,GSM5213624,GSM5213625,GSM5213626,GSM5213627,GSM5213628,GSM5213629,GSM5213630,GSM5213631,GSM5213632,GSM5213633,GSM5213634
Gene_124808,2.339663565,2.490730341,2.401513205,2.514731736,2.521983964,2.493207787,2.478850913,2.442541494,2.61388233,2.477867469,2.606596853,2.414994313
Gene_105371792,1.098288942,0.991921488,0.957856317,1.233435579,1.430919215,1.01817852,1.258975322,1.236477053,1.257316849,1.643787103,1.606547248,1.215844596
Gene_80174,1.673564655,1.787039787,1.522454789,1.300194133,1.379768831,1.223039675,1.477556167,1.572189641,1.506011068,1.115593559,1.459160957,1.503459301
Gene_4185,2.264788303,1.93560036,1.935288951,1.776561626,2.016576124,1.81571701,1.458040902,1.369649311,2.425848764,1.931185381,1.929419464,2.020264103
Gene_10052,1.856650644,1.303211045,0,0,1.113517225,1.621719593,0.950232816,0,0.613456073,1.822243423,0.872828854,0.895492141
Gene_51751,2.478614897,1.787039787,1.362167178,1.533806391,1.555853674,1.735776666,1.381874502,1.459933557,0,1.67647967,1.295313817,1.334127484
Gene_9343,2.702261157,2.709533577,2.777111299,2.709281508,2.796806621,2.845224129,2.766100755,2.882749002,2.737323554,3.007884819,2.485700134,2.796735454
Gene_388389,1.688486948,1.522760395,1.550266732,1.809702253,1.990769132,1.262063519,1.776118996,1.814095839,0.858097994,1.455479728,1.322855677,1.19257238
Gene_2670,3.950745538,3.76135251,3.033775386,3.196442576,3.724796497,3.560350798,3.021751562,3.246674269,3.703990802,4.091909249,4.054255812,3.625999193
Gene_10882,0,1.522760395,1.105365357,1.358044849,1.944026264,1.500226098,1.109778699,0.94112344,0.613456073,0.789867379,2.108201158,1.773206319
Gene_79877,2.240789485,2.234104455,2.339046482,2.288713574,2.355566235,2.374173474,2.262682735,2.21523909,2.612238169,2.577465282,2.259888335,2.299112424
Gene_4836,3.053173418,3.019390917,3.028731817,3.091806374,3.235571759,2.969398039,2.928472598,2.990150649,2.986157175,3.048503919,2.950702337,2.854566335
Gene_113026,1.929803667,2.094889732,1.460840036,1.610864942,1.698517586,1.716549265,1.393607935,1.534640791,1.691509747,1.810838256,1.418301816,1.858450383
Gene_79777,1.531104746,1.482668997,1.541192549,1.796747866,1.543619585,1.454795446,1.258975322,1.759252428,1.437813703,1.67647967,1.335998156,1.503459301
Gene_10614,2.703679927,2.764450549,2.840439196,2.786440294,2.794723673,2.727896594,2.859410066,2.773264217,2.701287885,2.702116674,2.8674499,2.71947303
Gene_124790,1.642087791,1.99110531,1.78148864,1.620836608,1.880358013,1.956940572,1.999852775,1.979242269,1.677563755,2.010977979,1.4074568,1.578401608
Gene_105371795,1.590131849,1.950155679,1.75986732,1.56851775,1.777697292,1.864968813,1.954577729,1.862783621,1.484446974,1.996149378,1.585200866,1.547852186
Gene_752,1.780657809,1.942938994,2.210864181,2.186505514,1.504702756,1.968098601,1.766415386,1.902374941,1.959442954,1.787088033,2.031874902,1.597635801
Gene_107985040,1.410406696,1.694485653,1.681087356,2.155978139,1.897171281,1.621719593,2.196912141,1.964918844,1.257316849,2.147459339,1.652618733,1.797622982
Gene_9020,1.716876193,1.871947566,1.541192549,1.358044849,1.601609882,0.812870025,0.950232816,0.900857182,0.752780102,1.787088033,0.360273219,0.553029658
Gene_201176,1.743522991,1.593301437,1.449664176,1.454757062,1.230014435,1.314721077,1.131480937,0.807029864,1.127927369,1.956698972,0.742181538,0.84532147
