GeneId,GSM2843848,GSM2843849,GSM2843850,GSM2843851,GSM2843852,GSM2843853,GSM2843854,GSM2843855,GSM2843856,GSM2843857,GSM2843858,GSM2843859,GSM2843860,GSM2843861,GSM2843862,GSM2843863
Gene_83756,1.241874876,1.226852541,1.061288318,0.987717702,1.297815844,1.326346618,1.230406048,1.260532713,1.459131259,1.221450013,1.388961182,1.387404828,0.942800045,1.344799948,1.449848362,1.484004693
Gene_1855,2.9122637,2.797848913,2.707683029,2.591376831,2.691228084,2.858539218,2.930581852,2.939807101,2.909506302,2.708620336,2.903240975,2.961697693,2.215069934,3.182628724,2.82994793,3.077020248
Gene_54587,2.09481669,1.766393427,1.841057118,1.649390909,1.869545887,1.8507987,2.001551993,1.940001776,2.029064941,1.651509064,1.78816027,2.150464942,1.343980678,1.771455751,2.092813375,1.934345347
Gene_54998,2.09481669,2.046352344,2.070216771,1.937647504,1.836038479,2.064411579,2.202213553,2.222029839,1.999894908,1.885093315,2.08082668,2.16807084,2.3833577,2.095366108,1.910811162,2.126929001
Gene_81669,3.113661598,3.173936709,3.158329598,3.154516681,3.083319647,3.175335725,3.006735697,3.070885806,3.118506687,3.106582478,3.034013835,3.07574503,2.92870318,3.092587394,3.136211541,2.910157443
Gene_148413,1.589305414,1.866298947,1.76312651,1.693399329,1.805104879,1.887282117,1.997892833,1.882721581,1.888754289,1.863300904,1.833209851,1.774532346,1.942182277,1.909870776,1.904975351,1.794283461
Gene_55052,2.571525002,2.691875691,2.667046246,2.781285007,2.696063044,2.550578257,2.601271044,2.622882341,2.496313969,2.625656996,2.606736105,2.492845799,3.075252568,2.510742748,2.434014416,2.435640208
Gene_441869,1.589305414,1.712652474,1.728988375,1.713836865,1.531375774,1.904435375,1.771581373,1.771699772,1.907815425,1.697510753,1.65602623,1.774532346,1.458420449,1.704440303,1.783780551,1.545350172
Gene_643965,1.151141576,1.658569408,1.246739132,1.265815143,1.442601256,1.438005221,1.963494246,1.763720474,1.992285643,1.394278013,1.571001659,1.679443213,1.575314969,1.36505334,1.540276256,1.338633821
Gene_64856,1.742690064,2.200967585,1.83553456,1.707130651,1.810415919,2.139066436,2.484254436,2.434895545,2.425977249,1.885093315,2.08082668,2.156413231,2.017769663,1.991914523,2.197341726,1.959861068
Gene_219293,1.672734406,2.314756472,2.312132484,2.070208943,2.080624149,1.936834118,2.00518058,2.180897544,2.365382289,2.220836057,2.581509096,2.092911528,2.026922546,2.335320875,2.250845347,2.594283141
Gene_83858,2.975621682,2.903107395,2.816638271,2.754252623,2.817506476,3.000738947,2.828512659,2.800482303,2.936513521,2.840602002,2.872300883,2.861191457,2.412269782,2.767930903,2.9387167,2.870420385
Gene_55210,2.794439716,2.680389755,2.580285683,2.525789698,2.614715905,2.870523223,2.852273958,2.809996587,2.833577818,2.609924654,2.787014353,2.814462998,2.312037867,2.692946976,2.653129817,2.744095769
Gene_339453,1.961385771,1.636415802,1.449716226,1.43398499,1.376214398,1.800410916,1.746097623,1.876555079,1.71059213,1.492070465,1.716032385,1.840435195,1.155733514,1.602856159,1.927862338,1.836507258
Gene_29101,2.620412757,2.646216289,2.641747319,2.633389747,2.652761667,2.597351983,2.694097723,2.687926904,2.631604809,2.589422279,2.732846398,2.647056094,2.715252058,2.752801238,2.576442743,2.768297198
Gene_142678,2.543829339,2.481573784,2.271322043,2.232147097,2.378421853,2.467061262,2.531903841,2.440016414,2.594867896,2.352428822,2.505750561,2.572248065,1.913750222,2.435209819,2.407133396,2.623916981
Gene_8510,0.879742363,1.116729275,0.559776386,0.865853152,0.862380455,1.128111337,0.888524069,0.931125289,1.263971452,1.110422775,1.06957835,1.1658522,0.735415076,1.168158249,1.112489569,1.326967953
Gene_984,3.294564787,3.21320013,3.155678448,3.082810028,3.081061034,3.331500875,3.284052603,3.273674403,3.330467856,3.142495079,3.225678884,3.333614031,2.968808645,3.567492663,3.155772801,3.326344046
Gene_728661,3.137211938,2.984719519,2.903667987,2.85161578,2.98762393,2.973636402,3.055393178,3.134991595,3.048928248,3.036811396,3.067956512,3.099955114,2.325906784,3.124720539,3.032252001,3.064652
Gene_8511,0.879742363,1.116729275,0.439744323,0.620274314,0.862380455,1.074714283,0.781906213,0.982708543,1.339193202,0.989661934,1.016840261,1.103818132,0.636314688,1.062972018,1.179852562,1.276893072
